token,symbol,start,open,high,low,close,volume
1001,ALPHAFLAG,2026-08-19T09:15:00,98.5,99.5,98.2,99.0,10000
1001,ALPHAFLAG,2026-08-19T09:16:00,99.0,99.3,98.6,98.9,10000
1001,ALPHAFLAG,2026-08-19T09:17:00,98.9,99.1,98.0,98.4,10000
1001,ALPHAFLAG,2026-08-19T09:18:00,98.4,98.9,98.1,98.7,10000
1001,ALPHAFLAG,2026-08-19T09:19:00,98.7,99.2,98.5,99.1,10000
1001,ALPHAFLAG,2026-08-19T09:20:00,99.1,99.4,98.8,99.0,10000
1001,ALPHAFLAG,2026-08-19T09:21:00,99.0,99.2,98.3,98.5,10000
1001,ALPHAFLAG,2026-08-19T09:22:00,98.5,98.6,97.8,98.2,10000
1001,ALPHAFLAG,2026-08-19T09:23:00,98.2,99.0,98.0,98.9,10000
1001,ALPHAFLAG,2026-08-19T09:24:00,98.9,99.5,98.7,99.4,10000
1001,ALPHAFLAG,2026-08-19T09:25:00,99.4,99.55,99.0,99.3,10000
1001,ALPHAFLAG,2026-08-19T09:26:00,99.3,99.5,99.1,99.4,10000
1001,ALPHAFLAG,2026-08-19T09:27:00,99.4,99.5,99.2,99.45,10000
1001,ALPHAFLAG,2026-08-19T09:28:00,99.45,99.58,99.3,99.5,10000
1001,ALPHAFLAG,2026-08-19T09:29:00,99.5,99.58,99.4,99.55,10000
1001,ALPHAFLAG,2026-08-19T09:30:00,99.55,99.58,99.5,99.55,10000
1001,ALPHAFLAG,2026-08-19T09:31:00,100.8,101.2,100.5,101.0,10000
1001,ALPHAFLAG,2026-08-19T09:32:00,101.0,101.5,100.9,101.3,10000
1001,ALPHAFLAG,2026-08-19T09:33:00,101.3,102.0,101.2,101.9,10000
1002,BETAEP,2026-08-19T09:15:00,207.0,210.0,206.0,209.0,10000
1002,BETAEP,2026-08-19T09:16:00,209.0,209.8,207.5,208.0,10000
1002,BETAEP,2026-08-19T09:17:00,208.0,208.5,205.0,206.0,10000
1002,BETAEP,2026-08-19T09:18:00,206.0,207.0,205.5,206.8,10000
1002,BETAEP,2026-08-19T09:19:00,206.8,208.0,206.5,207.9,10000
1002,BETAEP,2026-08-19T09:20:00,207.9,209.0,207.5,208.8,10000
1002,BETAEP,2026-08-19T09:21:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:22:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:23:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:24:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:25:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:26:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:27:00,208.0,209.5,204.5,208.5,10000
1002,BETAEP,2026-08-19T09:28:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:29:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:30:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:31:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:32:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:33:00,208.0,209.5,206.0,208.5,10000
